source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,intersection
GO:BP,GO:0042445,hormone metabolic process,6.8150542761174e-07,True,"""The chemical reactions and pathways involving any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone."" [GOC:jl]",241,132,14,20972,0.10606060606060606,0.058091286307053944,query_1,"['GO:0008152', 'GO:0010817']","['LHCGR', 'DHRS9', 'ECE2', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'SPP1', 'AKR1B10', 'CEL', 'DHRS2', 'DIO2', 'PCSK6', 'SLC5A5', 'AWAT2']","[['IEA'], ['IDA', 'NAS', 'IEA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS'], ['IDA'], ['IEA'], ['IEA'], ['NAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['TAS', 'IEA'], ['IEA']]","['LHCGR', 'DHRS9', 'ECE2', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'SPP1', 'AKR1B10', 'CEL', 'DHRS2', 'DIO2', 'PCSK6', 'SLC5A5', 'AWAT2']"
GO:BP,GO:0050896,response to stimulus,8.992910346679698e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,132,90,20972,0.6818181818181818,0.009943652635067949,query_1,['GO:0008150'],"['CA6', 'PADI4', 'SLC30A2', 'LPAR3', 'S100A8', 'LHCGR', 'IGKV3-7', 'IGKV1D-42', 'MARCO', 'DAPL1', 'PTPRN', 'TRIM71', 'ARPP21', 'FEZF2', 'TAFA4', 'PROK2', 'ECE2', 'DRD5', 'CWH43', 'RASL11B', 'NMU', 'UGT2B15', 'UGT2B11', 'CSN1S1', 'ODAM', 'NPFFR2', 'ALB', 'CXCL6', 'CXCL2', 'EREG', 'CXCL13', 'SPP1', 'NPY2R', 'APELA', 'BTN1A1', 'CLPSL2', 'TREM1', 'EPHA7', 'TRDN', 'BHLHA15', 'AKR1B10', 'FGL1', 'PBK', 'UNC5D', 'FAM83A', 'LY6H', 'GLDC', 'BARX1', 'SLC39A12', 'FGF8', 'HBG2', 'CALCB', 'MS4A6E', 'SCGB1A1', 'SLC22A12', 'CHRDL2', 'PTHLH', 'VDR', 'OR8S1', 'LALBA', 'TNFSF11', 'DHRS2', 'DIO2', 'IGHV1-3', 'IGHV3-16', 'IGHV2-26', 'IGHV4-30-2', 'IGHV1-69D', 'C2CD4A', 'PCSK6', 'TAT', 'ALOX15B', 'CCL18', 'CSF3', 'LPO', 'RETN', 'FCER2', 'SLC5A5', 'MAG', 'CGB2', 'FPR2', 'LILRA6', 'LILRB5', 'TNNT1', 'PDYN', 'SIGLEC1', 'HAO1', 'CYP24A1', 'TFF1', 'USP26']","[['IDA'], ['IEA'], ['IBA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'ISS', 'IBA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IBA', 'IEA'], ['IDA', 'NAS', 'IEA'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS'], ['IBA'], ['IDA', 'IEP', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'NAS', 'IC', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IBA'], ['IBA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IDA', 'IBA'], ['IBA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IGI', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA'], ['NAS', 'IEA'], ['IDA', 'IEA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA'], ['TAS'], ['IEA'], ['IDA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEP'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['NAS'], ['IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IMP']]","['CA6', 'PADI4', 'SLC30A2', 'LPAR3', 'S100A8', 'LHCGR', 'IGKV3-7', 'IGKV1D-42', 'MARCO', 'DAPL1', 'PTPRN', 'TRIM71', 'ARPP21', 'FEZF2', 'TAFA4', 'PROK2', 'ECE2', 'DRD5', 'CWH43', 'RASL11B', 'NMU', 'UGT2B15', 'UGT2B11', 'CSN1S1', 'ODAM', 'NPFFR2', 'ALB', 'CXCL6', 'CXCL2', 'EREG', 'CXCL13', 'SPP1', 'NPY2R', 'APELA', 'BTN1A1', 'CLPSL2', 'TREM1', 'EPHA7', 'TRDN', 'BHLHA15', 'AKR1B10', 'FGL1', 'PBK', 'UNC5D', 'FAM83A', 'LY6H', 'GLDC', 'BARX1', 'SLC39A12', 'FGF8', 'HBG2', 'CALCB', 'MS4A6E', 'SCGB1A1', 'SLC22A12', 'CHRDL2', 'PTHLH', 'VDR', 'OR8S1', 'LALBA', 'TNFSF11', 'DHRS2', 'DIO2', 'IGHV1-3', 'IGHV3-16', 'IGHV2-26', 'IGHV4-30-2', 'IGHV1-69D', 'C2CD4A', 'PCSK6', 'TAT', 'ALOX15B', 'CCL18', 'CSF3', 'LPO', 'RETN', 'FCER2', 'SLC5A5', 'MAG', 'CGB2', 'FPR2', 'LILRA6', 'LILRB5', 'TNNT1', 'PDYN', 'SIGLEC1', 'HAO1', 'CYP24A1', 'TFF1', 'USP26']"
GO:BP,GO:0010817,regulation of hormone levels,1.7842943208488726e-05,True,"""Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."" [GOC:BHF, GOC:dph, GOC:tb]",547,132,18,20972,0.13636363636363635,0.03290676416819013,query_1,['GO:0065008'],"['LHCGR', 'DHRS9', 'PTPRN', 'STXBP5L', 'ECE2', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'SPP1', 'AKR1B10', 'CEL', 'TNFSF11', 'DHRS2', 'DIO2', 'PCSK6', 'RETN', 'SLC5A5', 'AWAT2']","[['IEA'], ['IDA', 'NAS', 'IEA'], ['IGI', 'ISS', 'IBA'], ['IEA'], ['IDA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS'], ['IDA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['NAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IEA'], ['TAS', 'IEA'], ['IEA']]","['LHCGR', 'DHRS9', 'PTPRN', 'STXBP5L', 'ECE2', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'SPP1', 'AKR1B10', 'CEL', 'TNFSF11', 'DHRS2', 'DIO2', 'PCSK6', 'RETN', 'SLC5A5', 'AWAT2']"
GO:BP,GO:0065008,regulation of biological quality,3.063495993489592e-05,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2963,132,44,20972,0.3333333333333333,0.014849814377320284,query_1,['GO:0065007'],"['LPAR3', 'XDH', 'LHCGR', 'SLC9A4', 'DHRS9', 'PTPRN', 'TRIM71', 'TAFA4', 'PROK2', 'STXBP5L', 'ECE2', 'DRD5', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'CSN2', 'CSN3', 'ALB', 'CXCL13', 'SPP1', 'GABRR1', 'EPHA7', 'TRDN', 'AKR1B10', 'FGL1', 'CEL', 'USH1C', 'SCGB1A1', 'VDR', 'TNFSF11', 'DHRS2', 'DIO2', 'SLC12A1', 'C2CD4A', 'PCSK6', 'GSG1L', 'CSF3', 'RETN', 'SLC5A5', 'MAG', 'FPR2', 'AWAT2', 'USP26', 'SLITRK2']","[['TAS', 'IEA'], ['IEA'], ['IEA'], ['IBA'], ['IDA', 'NAS', 'IEA'], ['IGI', 'ISS', 'IBA'], ['IDA'], ['IEA'], ['TAS'], ['IEA'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IBA'], ['IDA', 'IBA', 'TAS'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IBA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['ISS'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['NAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IBA'], ['IEA'], ['IDA'], ['IEA'], ['TAS', 'IEA'], ['ISS', 'IEA'], ['IBA'], ['IEA'], ['IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA']]","['LPAR3', 'XDH', 'LHCGR', 'SLC9A4', 'DHRS9', 'PTPRN', 'TRIM71', 'TAFA4', 'PROK2', 'STXBP5L', 'ECE2', 'DRD5', 'UGT2B15', 'UGT2B10', 'UGT2B11', 'CSN2', 'CSN3', 'ALB', 'CXCL13', 'SPP1', 'GABRR1', 'EPHA7', 'TRDN', 'AKR1B10', 'FGL1', 'CEL', 'USH1C', 'SCGB1A1', 'VDR', 'TNFSF11', 'DHRS2', 'DIO2', 'SLC12A1', 'C2CD4A', 'PCSK6', 'GSG1L', 'CSF3', 'RETN', 'SLC5A5', 'MAG', 'FPR2', 'AWAT2', 'USP26', 'SLITRK2']"
GO:BP,GO:0032501,multicellular organismal process,0.00039481721647605556,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,132,75,20972,0.5681818181818182,0.010222161646449502,query_1,['GO:0008150'],"['CA6', 'PADI4', 'EXTL1', 'LPAR3', 'SPRR2F', 'S100A8', 'XDH', 'LHCGR', 'SLC9A4', 'MARCO', 'DAPL1', 'PTPRN', 'TRIM71', 'FEZF2', 'TAFA4', 'PROK2', 'DRD5', 'CWH43', 'NMU', 'TMPRSS11E', 'OPRPN', 'CXCL6', 'EREG', 'CXCL13', 'MEPE', 'SPP1', 'NPY2R', 'APELA', 'BTN1A1', 'CLPSL2', 'EPHA7', 'TRDN', 'BHLHA15', 'FGL1', 'UNC5D', 'LY6H', 'GDA', 'BARX1', 'CEL', 'SLC39A12', 'SFTPA2', 'FGF8', 'LMO1', 'USH1C', 'SCGB1A1', 'SLC22A12', 'CHRDL2', 'PTHLH', 'VDR', 'OR8S1', 'KRT4', 'TNFSF11', 'LOC112267897', 'DHRS2', 'MDGA2', 'DIO2', 'GCNT3', 'C2CD4A', 'PCSK6', 'ALOX15B', 'CSF3', 'LPO', 'RETN', 'FCER2', 'SLC5A5', 'MAG', 'FPR2', 'TNNT1', 'PDYN', 'SIGLEC1', 'CYP24A1', 'TFF1', 'GJB1', 'DACH2', 'SLITRK2']","[['IDA'], ['ISS', 'IEA'], ['TAS'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['ISS'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'TAS'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['NAS'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS'], ['IMP', 'ISS', 'IEA'], ['IBA'], ['IEA'], ['ISS', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['TAS'], ['TAS'], ['IEA'], ['IDA', 'IBA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IEP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IEP', 'NAS', 'IEA'], ['IEA'], ['IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IEP'], ['ISS'], ['ISS'], ['IEA'], ['IDA'], ['IDA', 'TAS', 'IEA'], ['IMP', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IDA'], ['IEA'], ['IDA'], ['NAS'], ['HEP', 'ISS', 'IEA'], ['ISS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA'], ['IDA'], ['IEP'], ['IBA', 'IEA'], ['TAS'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA']]","['CA6', 'PADI4', 'EXTL1', 'LPAR3', 'SPRR2F', 'S100A8', 'XDH', 'LHCGR', 'SLC9A4', 'MARCO', 'DAPL1', 'PTPRN', 'TRIM71', 'FEZF2', 'TAFA4', 'PROK2', 'DRD5', 'CWH43', 'NMU', 'TMPRSS11E', 'OPRPN', 'CXCL6', 'EREG', 'CXCL13', 'MEPE', 'SPP1', 'NPY2R', 'APELA', 'BTN1A1', 'CLPSL2', 'EPHA7', 'TRDN', 'BHLHA15', 'FGL1', 'UNC5D', 'LY6H', 'GDA', 'BARX1', 'CEL', 'SLC39A12', 'SFTPA2', 'FGF8', 'LMO1', 'USH1C', 'SCGB1A1', 'SLC22A12', 'CHRDL2', 'PTHLH', 'VDR', 'OR8S1', 'KRT4', 'TNFSF11', 'LOC112267897', 'DHRS2', 'MDGA2', 'DIO2', 'GCNT3', 'C2CD4A', 'PCSK6', 'ALOX15B', 'CSF3', 'LPO', 'RETN', 'FCER2', 'SLC5A5', 'MAG', 'FPR2', 'TNNT1', 'PDYN', 'SIGLEC1', 'CYP24A1', 'TFF1', 'GJB1', 'DACH2', 'SLITRK2']"
GO:BP,GO:0042221,response to chemical,0.003601223459439391,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,132,47,20972,0.3560606060606061,0.0121667098110277,query_1,['GO:0050896'],"['CA6', 'SLC30A2', 'S100A8', 'LHCGR', 'DAPL1', 'PTPRN', 'FEZF2', 'TAFA4', 'PROK2', 'DRD5', 'UGT2B15', 'UGT2B11', 'CSN1S1', 'NPFFR2', 'ALB', 'CXCL6', 'CXCL2', 'EREG', 'CXCL13', 'SPP1', 'CLPSL2', 'TREM1', 'EPHA7', 'AKR1B10', 'LY6H', 'GLDC', 'FGF8', 'HBG2', 'SCGB1A1', 'SLC22A12', 'VDR', 'OR8S1', 'TNFSF11', 'DHRS2', 'DIO2', 'TAT', 'CCL18', 'CSF3', 'LPO', 'RETN', 'SLC5A5', 'FPR2', 'LILRA6', 'LILRB5', 'CYP24A1', 'TFF1', 'USP26']","[['IDA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA'], ['IEA'], ['ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['TAS'], ['IBA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IBA'], ['IBA'], ['ISS', 'IEA'], ['IDA'], ['IBA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEP'], ['IDA', 'IGI', 'ISS', 'TAS', 'IEA'], ['IBA'], ['IBA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IMP']]","['CA6', 'SLC30A2', 'S100A8', 'LHCGR', 'DAPL1', 'PTPRN', 'FEZF2', 'TAFA4', 'PROK2', 'DRD5', 'UGT2B15', 'UGT2B11', 'CSN1S1', 'NPFFR2', 'ALB', 'CXCL6', 'CXCL2', 'EREG', 'CXCL13', 'SPP1', 'CLPSL2', 'TREM1', 'EPHA7', 'AKR1B10', 'LY6H', 'GLDC', 'FGF8', 'HBG2', 'SCGB1A1', 'SLC22A12', 'VDR', 'OR8S1', 'TNFSF11', 'DHRS2', 'DIO2', 'TAT', 'CCL18', 'CSF3', 'LPO', 'RETN', 'SLC5A5', 'FPR2', 'LILRA6', 'LILRB5', 'CYP24A1', 'TFF1', 'USP26']"
GO:BP,GO:0007267,cell-cell signaling,0.003769384402307933,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,132,24,20972,0.18181818181818182,0.0182370820668693,query_1,"['GO:0007154', 'GO:0023052']","['LPAR3', 'S100A8', 'PTPRN', 'STXBP5L', 'ECE2', 'DRD5', 'NMU', 'CXCL6', 'EREG', 'CXCL13', 'SPP1', 'GABRR1', 'EPHA7', 'BHLHA15', 'LY6H', 'BARX1', 'SYT13', 'PTHLH', 'LALBA', 'TNFSF11', 'CCL18', 'RETN', 'PDYN', 'GJB1']","[['TAS'], ['IEA'], ['IGI', 'ISS', 'IBA'], ['IEA'], ['TAS'], ['NAS', 'IEA'], ['IBA'], ['TAS'], ['IDA'], ['IDA'], ['IDA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IBA'], ['TAS'], ['TAS'], ['ISS', 'IEA'], ['TAS'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'TAS']]","['LPAR3', 'S100A8', 'PTPRN', 'STXBP5L', 'ECE2', 'DRD5', 'NMU', 'CXCL6', 'EREG', 'CXCL13', 'SPP1', 'GABRR1', 'EPHA7', 'BHLHA15', 'LY6H', 'BARX1', 'SYT13', 'PTHLH', 'LALBA', 'TNFSF11', 'CCL18', 'RETN', 'PDYN', 'GJB1']"
GO:BP,GO:0006935,chemotaxis,0.010871626860166569,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",456,132,13,20972,0.09848484848484848,0.02850877192982456,query_1,"['GO:0042221', 'GO:0042330']","['S100A8', 'FEZF2', 'TAFA4', 'PROK2', 'CXCL6', 'CXCL2', 'CXCL13', 'TREM1', 'EPHA7', 'FGF8', 'TNFSF11', 'CCL18', 'FPR2']","[['IDA', 'IBA', 'IEA'], ['IEA'], ['ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA'], ['ISS'], ['IEA'], ['IDA'], ['IBA', 'TAS', 'IEA'], ['IGI', 'ISS', 'TAS', 'IEA']]","['S100A8', 'FEZF2', 'TAFA4', 'PROK2', 'CXCL6', 'CXCL2', 'CXCL13', 'TREM1', 'EPHA7', 'FGF8', 'TNFSF11', 'CCL18', 'FPR2']"
GO:BP,GO:0042330,taxis,0.011395064757599396,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",458,132,13,20972,0.09848484848484848,0.028384279475982533,query_1,"['GO:0009605', 'GO:0040011']","['S100A8', 'FEZF2', 'TAFA4', 'PROK2', 'CXCL6', 'CXCL2', 'CXCL13', 'TREM1', 'EPHA7', 'FGF8', 'TNFSF11', 'CCL18', 'FPR2']","[['IDA', 'IBA', 'IEA'], ['IEA'], ['ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA'], ['ISS'], ['IEA'], ['IDA'], ['IBA', 'TAS', 'IEA'], ['IGI', 'ISS', 'TAS', 'IEA']]","['S100A8', 'FEZF2', 'TAFA4', 'PROK2', 'CXCL6', 'CXCL2', 'CXCL13', 'TREM1', 'EPHA7', 'FGF8', 'TNFSF11', 'CCL18', 'FPR2']"
GO:BP,GO:0007186,G protein-coupled receptor signaling pathway,0.03385806932001499,True,"""The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."" [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]",1299,132,22,20972,0.16666666666666666,0.016936104695919937,query_1,['GO:0007165'],"['LPAR3', 'LHCGR', 'MARCO', 'DAPL1', 'PROK2', 'ECE2', 'DRD5', 'NMU', 'NPFFR2', 'EREG', 'NPY2R', 'APELA', 'BHLHA15', 'FGF8', 'CALCB', 'PTHLH', 'OR8S1', 'ALOX15B', 'CCL18', 'CGB2', 'FPR2', 'PDYN']","[['IBA', 'TAS', 'IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IEA'], ['IDA'], ['IBA'], ['IBA'], ['IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'IEA']]","['LPAR3', 'LHCGR', 'MARCO', 'DAPL1', 'PROK2', 'ECE2', 'DRD5', 'NMU', 'NPFFR2', 'EREG', 'NPY2R', 'APELA', 'BHLHA15', 'FGF8', 'CALCB', 'PTHLH', 'OR8S1', 'ALOX15B', 'CCL18', 'CGB2', 'FPR2', 'PDYN']"
