source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005576,extracellular region,2.7742529073406037e-14,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4249,141,71,22155,0.5035460992907801,0.01670981407389974,query_1,['GO:0110165']
GO:CC,GO:0005615,extracellular space,2.4532724636124907e-07,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3252,141,50,22155,0.3546099290780142,0.015375153751537515,query_1,"['GO:0005576', 'GO:0110165']"
GO:BP,GO:0042445,hormone metabolic process,6.8150542761174e-07,True,"""The chemical reactions and pathways involving any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone."" [GOC:jl]",241,132,14,20972,0.10606060606060606,0.058091286307053944,query_1,"['GO:0008152', 'GO:0010817']"
GO:MF,GO:0030545,signaling receptor regulator activity,5.969038763212991e-06,True,"""Binds to and modulates the activity of a receptor."" [GOC:ceb]",594,132,19,20208,0.14393939393939395,0.03198653198653199,query_1,['GO:0098772']
GO:BP,GO:0050896,response to stimulus,8.992910346679698e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,132,90,20972,0.6818181818181818,0.009943652635067949,query_1,['GO:0008150']
GO:MF,GO:0048018,receptor ligand activity,1.004602584639089e-05,True,"""The activity of a gene product that interacts with a receptor to effect a change in the activity of the receptor. Ligands may be produced by the same cell that expresses the receptor. Ligands may also be expressed at the plasma membrane of an adjacent cell (e.g. Notch ligands) or be secreted and diffuse extracellularly from their point of origin to the receiving cell (e.g. interleukins)."" [GOC:kv, GOC:molecular_function_refactoring, GOC:pdt]",548,132,18,20208,0.13636363636363635,0.032846715328467155,query_1,['GO:0030546']
GO:MF,GO:0030546,signaling receptor activator activity,1.2535479332443186e-05,True,"""The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is increased."" [GOC:ceb]",556,132,18,20208,0.13636363636363635,0.03237410071942446,query_1,"['GO:0030545', 'GO:0140677']"
GO:BP,GO:0010817,regulation of hormone levels,1.7842943208488726e-05,True,"""Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."" [GOC:BHF, GOC:dph, GOC:tb]",547,132,18,20972,0.13636363636363635,0.03290676416819013,query_1,['GO:0065008']
GO:BP,GO:0065008,regulation of biological quality,3.063495993489592e-05,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2963,132,44,20972,0.3333333333333333,0.014849814377320284,query_1,['GO:0065007']
GO:MF,GO:0005102,signaling receptor binding,0.0002770519782817577,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1346,132,26,20208,0.19696969696969696,0.019316493313521546,query_1,['GO:0005515']
